"condition","relative_path","bytes","status","error_marker","missing_fields","admission_decision"
"H1","nz-01\run-1\raw-transcript.md","51444","metadata-incomplete","False","case_id;temperature;started_at;ended_at;endpoint","not-admitted"
"H1","nz-01\run-2\raw-transcript.md","6834","metadata-incomplete","False","condition_id;case_id;run_number;model_id;harness;temperature;started_at;ended_at;endpoint","not-admitted"
"H1","nz-01\run-3\raw-transcript.md","13845","metadata-incomplete","False","condition_id;case_id;run_number;model_id;harness;temperature;started_at;ended_at;endpoint","not-admitted"
"H1","nz-02\run-1\raw-transcript.md","18826","metadata-incomplete","False","condition_id;case_id;run_number;model_id;harness;temperature;started_at;ended_at;endpoint","not-admitted"
"H1","nz-02\run-2\raw-transcript.md","6871","metadata-incomplete","False","condition_id;case_id;run_number;model_id;harness;temperature;started_at;ended_at;endpoint","not-admitted"
"H1","nz-02\run-3\raw-transcript.md","10715","metadata-incomplete","False","condition_id;case_id;run_number;model_id;harness;temperature;started_at;ended_at;endpoint","not-admitted"
"H1","nz-03\run-1\raw-transcript.md","13401","metadata-incomplete","False","condition_id;case_id;run_number;model_id;harness;temperature;started_at;ended_at;endpoint","not-admitted"
"H1","nz-03\run-2\raw-transcript.md","9250","metadata-incomplete","False","condition_id;case_id;run_number;model_id;harness;temperature;started_at;ended_at;endpoint","not-admitted"
"H1","nz-03\run-3\raw-transcript.md","13738","metadata-incomplete","False","condition_id;case_id;run_number;model_id;harness;temperature;started_at;ended_at;endpoint","not-admitted"
"H1","nz-04\run-1\raw-transcript.md","17733","metadata-incomplete","False","condition_id;case_id;run_number;model_id;harness;temperature;started_at;ended_at;endpoint","not-admitted"
"H1","nz-04\run-2\raw-transcript.md","7663","metadata-incomplete","False","condition_id;case_id;run_number;model_id;harness;temperature;started_at;ended_at;endpoint","not-admitted"
"H1","nz-04\run-3\raw-transcript.md","12449","metadata-incomplete","False","condition_id;case_id;run_number;model_id;harness;temperature;started_at;ended_at;endpoint","not-admitted"
"H1","nz-05\run-1\raw-transcript.md","15965","metadata-incomplete","False","condition_id;case_id;run_number;model_id;harness;temperature;started_at;ended_at;endpoint","not-admitted"
"H1","nz-05\run-2\raw-transcript.md","6030","metadata-incomplete","False","condition_id;case_id;run_number;model_id;harness;temperature;started_at;ended_at;endpoint","not-admitted"
"H1","nz-05\run-3\raw-transcript.md","11184","metadata-incomplete","False","condition_id;case_id;run_number;model_id;harness;temperature;started_at;ended_at;endpoint","not-admitted"
"H1","nz-06\run-1\raw-transcript.md","17968","metadata-incomplete","False","condition_id;case_id;run_number;model_id;harness;temperature;started_at;ended_at;endpoint","not-admitted"
"H1","nz-06\run-2\raw-transcript.md","5718","metadata-incomplete","False","condition_id;case_id;run_number;model_id;harness;temperature;started_at;ended_at;endpoint","not-admitted"
"H1","nz-06\run-3\raw-transcript.md","11041","metadata-incomplete","False","condition_id;case_id;run_number;model_id;harness;temperature;started_at;ended_at;endpoint","not-admitted"
"H1","nz-07\run-1\raw-transcript.md","20696","metadata-incomplete","False","condition_id;case_id;run_number;model_id;harness;temperature;started_at;ended_at;endpoint","not-admitted"
"H1","nz-07\run-2\raw-transcript.md","7641","metadata-incomplete","False","condition_id;case_id;run_number;model_id;harness;temperature;started_at;ended_at;endpoint","not-admitted"
"H1","nz-07\run-3\raw-transcript.md","12681","metadata-incomplete","False","condition_id;case_id;run_number;model_id;harness;temperature;started_at;ended_at;endpoint","not-admitted"
